,gene_ID,gene_name
31646,ENSG00000279151.1,RP1-163M9.7
31651,ENSG00000282740.1,RP5-1182A14.7
31656,ENSG00000058453.17,CROCC
31886,ENSG00000227684.2,CROCCP4
31895,ENSG00000207389.1,RNU1-4
31898,ENSG00000186715.11,MST1L
31958,ENSG00000223643.6,RP11-108M9.1
31968,ENSG00000230239.1,PDE4DIPP9
31973,ENSG00000263811.1,MIR3675
31976,ENSG00000228549.5,RP11-108M9.3
32004,ENSG00000277234.1,RNU1-5P
32007,ENSG00000238142.2,RP11-108M9.4
32028,ENSG00000235241.1,RP11-108M9.5
32031,ENSG00000207005.1,RNU1-2
32034,ENSG00000272426.1,RP11-108M9.6
32037,ENSG00000117122.14,MFAP2
32107,ENSG00000286898.1,RP1-37C10.7
32111,ENSG00000226526.1,RP1-37C10.3
32115,ENSG00000159363.19,ATP13A2
32439,ENSG00000288636.1,RP1-37C10.8
32452,ENSG00000117118.10,SDHB
32526,ENSG00000117115.13,PADI2
32604,ENSG00000204362.6,LINC02783
32614,ENSG00000282843.1,RP11-380J14.4
32621,ENSG00000142623.11,PADI1
32671,ENSG00000142619.4,PADI3
32709,ENSG00000266634.1,MIR3972
32712,ENSG00000159339.13,PADI4
32777,ENSG00000276747.1,PADI6
32815,ENSG00000227751.1,RCC2-AS1
32819,ENSG00000179051.14,RCC2
32883,ENSG00000074964.17,ARHGEF10L
33123,ENSG00000236648.2,LINC02810
33142,ENSG00000117148.8,ACTL8
33163,ENSG00000284653.1,RP11-658E23.1
33169,ENSG00000261781.1,LINC01654
33174,ENSG00000117154.12,IGSF21
33217,ENSG00000280222.1,RP11-174G17.3
33220,ENSG00000230035.2,IGSF21-AS1
33226,ENSG00000225387.1,RP11-422P22.1
33230,ENSG00000179023.9,KLHDC7A
33238,ENSG00000235282.3,DYNLL1P3
33241,ENSG00000225478.2,RP1-8B22.2
33244,ENSG00000009709.12,PAX7
33310,ENSG00000179002.5,TAS1R2
33328,ENSG00000159423.17,ALDH4A1
33489,ENSG00000265606.1,MIR4695
33492,ENSG00000221662.1,MIR1290
33495,ENSG00000169991.11,IFFO2
33547,ENSG00000272084.1,RP5-1126H10.2
33550,ENSG00000127481.15,UBR4
34043,ENSG00000230424.1,EMC1-AS1
34047,ENSG00000127463.15,EMC1
34272,ENSG00000053372.5,MRTO4
34302,ENSG00000286064.1,RP4-657E11.11
34306,ENSG00000211454.15,AKR7L
34363,ENSG00000162482.5,AKR7A3
34383,ENSG00000270728.1,RP4-657E11.10
34387,ENSG00000053371.13,AKR7A2
34452,ENSG00000200403.1,RNU6-1099P
34455,ENSG00000040487.13,SLC66A1
34576,ENSG00000077549.19,CAPZB
34803,ENSG00000240490.3,RN7SL277P
34806,ENSG00000173436.15,MICOS10
34884,ENSG00000201609.1,RNU4-28P
